country,happiness_score,hdi,gdp_percapita,beer,spirits,wine,consumption,incomeperperson,suiciderate,employrate,life_exp
Denmark,7.526,928,53.57899999999999,224,81,278,12.02,30532.277039999997,8.973104,63.09999847,86.0
Switzerland,7.5089999999999995,943,79.866,185,100,280,11.41,37662.75125,13.23981,64.30000305,83.4
Iceland,7.501,933,60.53,233,61,78,7.38,33945.31442,11.42618084,73.59999847,82.7
Norway,7.497999999999999,951,70.89,169,71,129,8.35,39972.35277,10.823,65.0,81.8
Finland,7.412999999999999,918,43.433,263,133,97,13.1,27110.73159,16.234370000000002,57.20000076,81.1
Canada,7.404,922,42.349,240,122,100,10.2,25575.352619999998,10.10099,63.5,82.2
Netherlands,7.3389999999999995,928,45.638000000000005,251,88,190,9.75,26551.844240000002,8.164005,61.29999924,81.9
New Zealand,7.334,915,40.332,203,79,175,9.99,14778.16393,12.17976,65.0,81.6
Australia,7.313,938,49.897,261,72,212,10.21,25249.98606,8.470030125,61.5,82.8
Sweden,7.291,932,51.845,152,60,186,9.5,32292.48298,11.11583,60.70000076,82.4
Israel,7.267,902,37.181,63,69,9,2.52,22275.751659999998,5.931845,51.29999924,82.5
Austria,7.119,906,44.731,279,75,191,12.4,26692.984109999998,13.09437,57.09999847,81.5
United States,7.104,922,57.589,249,158,84,9.7,37491.17952,9.927033,62.29999924,
Costa Rica,7.087000000000001,791,11.732999999999999,149,87,11,5.81,5188.900935000001,6.597167999999999,58.59999847,79.6
Germany,6.994,934,42.233000000000004,346,117,175,12.14,25306.18719,9.211085,53.5,81.0
Brazil,6.952000000000001,758,8.639,245,145,16,10.08,4699.411262,4.777007,64.5,75.0
Belgium,6.928999999999999,915,41.261,295,84,212,10.41,24496.04826,15.95385,48.59999847,81.1
Ireland,6.907,934,64.1,313,118,165,14.92,27595.09135,10.36507,59.90000153,81.4
Luxembourg,6.871,904,100.73899999999999,236,133,271,12.84,52301.58718,12.40591812,53.5,82.0
Mexico,6.778,772,8.443999999999999,238,68,5,8.55,6105.280743,4.288574,57.90000153,76.7
Singapore,6.739,930,55.243,60,12,11,1.54,32535.832510000004,9.127511,62.40000153,83.1
United Kingdom,6.725,920,40.412,219,126,195,13.24,28033.48928,6.014659,59.29999924,
Chile,6.705,842,13.960999999999999,130,124,172,8.81,6334.105194,10.17187,51.0,85.0
Panama,6.7010000000000005,785,14.333,285,104,18,7.3,5900.616943999999,6.1052819000000005,59.79999924,77.8
Argentina,6.65,822,12.654000000000002,193,25,221,9.35,10749.419240000001,7.765584,58.40000153,76.3
Czech Republic,6.596,885,18.484,361,170,134,,,,,
United Arab Emirates,6.5729999999999995,862,38.518,16,135,5,0.52,21087.394119999997,1.392950654,75.19999695,77.1
Uruguay,6.545,802,15.298,115,35,220,8.99,9106.327234,14.537270000000001,57.5,77.0
Malta,6.4879999999999995,875,24.771,149,100,120,4.1,11066.78414,4.551121235,46.79999924,81.7
Colombia,6.481,747,5.757000000000001,159,76,3,6.59,3233.42378,4.907702,63.20000076,74.8
France,6.478,899,36.87,127,151,370,12.48,22878.46657,14.091529999999999,51.20000076,82.4
Thailand,6.474,748,5.979,99,258,1,7.08,2712.517199,9.847459792999999,72.0,74.9
Qatar,6.375,855,59.324,1,42,7,1.29,33931.83208,2.515720844,76.0,78.2
Spain,6.361000000000001,889,26.616999999999997,284,157,112,11.83,15461.75837,5.888479,52.5,82.8
Guatemala,6.324,649,4.141,53,69,2,7.1,1860.7538949999998,2.234896,62.70000076,71.9
Suriname,6.269,719,5.871,128,178,7,6.56,2668.020519,20.747430800000004,44.70000076,71.6
Bahrain,6.218,846,22.561,42,63,7,4.19,12505.21254,4.414990425,60.40000153,76.9
Trinidad and Tobago,6.167999999999999,785,16.352,197,156,7,6.16,10480.8172,14.54716682,61.5,71.2
Venezuela,6.084,766,15.692,333,100,3,7.6,5528.363114,4.119619999999999,59.90000153,
Slovakia,6.077999999999999,853,16.53,196,293,116,,,,,76.7
El Salvador,6.068,679,3.7689999999999997,52,69,2,3.99,2557.433638,7.304886,58.20000076,73.5
Nicaragua,5.992000000000001,657,2.144,78,118,1,5.21,948.355952,12.12226868,58.79999924,74.8
Uzbekistan,5.987,703,2.106,25,101,8,3.61,952.8272607999999,5.2137199999999995,57.5,69.4
Italy,5.977,878,30.669,85,42,237,9.72,18982.26929,4.930044509,46.40000153,82.7
Ecuador,5.976,749,6.019,162,74,3,9.43,1728.0209760000002,8.504684447999999,59.70000076,76.2
Belize,5.956,709,4.96,263,114,8,5.92,3545.6521740000003,9.388795853,56.79999924,71.0
Japan,5.921,907,38.972,77,202,16,7.79,39309.47886,18.94693,57.29999924,83.7
